ticket_id,model_id,version,risk_tier,approver,emergency,opened_at,approved_at,description,record_status,evidence_basis
WB-020,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Downgrade partial proposals with no surviving verbatim excerpt to none.,historical_reconstructed,repository evidence; approval metadata not present
WB-021,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Prevent scanner self-ingestion and ensure failed assessor calls are not recorded as ratings.,historical_reconstructed,repository evidence; approval metadata not present
WB-022,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Pass declared control artefacts to the assessor and gate partial ratings on them.,historical_reconstructed,repository evidence; approval metadata not present
WB-023,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Wire the relative retrieval threshold into the assessment path.,historical_reconstructed,repository evidence; approval metadata not present
WB-024,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-10,,Add the sticky application header/navigation treatment.,historical_reconstructed,repository evidence; approval metadata not present
WB-025,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-10,,Checkpoint before the blind-first assessment reorder.,historical_reconstructed,repository evidence; approval metadata not present
WB-026,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,"Add MAS requirement text and elements, constructed corpus with derived labels, baselines and overlay wiring.",historical_reconstructed,repository evidence; approval metadata not present
WB-027,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Add governance cross-reference checks and reorganise governance documentation.,historical_reconstructed,repository evidence; approval metadata not present
WB-028,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-07,,Implement evidence-floor semantics using examined population counts and inconclusive gates.,historical_reconstructed,repository evidence; approval metadata not present
WB-029,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-11,,Make the evaluation corpus a controlled governance artefact with EVL controls and corpus adapters.,historical_reconstructed,repository evidence; approval metadata not present
WB-030,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-11,,Add the Halocline domain-classification specification and control/adapters.,historical_reconstructed,repository evidence; approval metadata not present
WB-031,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Element-level comparison of the reviewer blind read against the assessor proposal, and a disagreement-scoped second challenge pass.",historical_reconstructed,repository evidence; approval metadata not present
WB-032,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,Make the BM25 fallback unconditionally importable so its test exercises the fallback rather than rank-bm25.,historical_reconstructed,repository evidence; approval metadata not present
WB-033,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Split element verdicts into their own model call to raise the verdict return rate on small local models.,historical_reconstructed,repository evidence; approval metadata not present
WB-034,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,"Retain the rejected excerpt when a met element verdict fails the verbatim check, so the cause is diagnosable.",historical_reconstructed,repository evidence; approval metadata not present
WB-035,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Order the element schema so the excerpt is generated before the status, so a met verdict follows from a copied passage rather than preceding it.",historical_reconstructed,repository evidence; approval metadata not present
WB-036,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Gate the probe and score.py on corpus requirement binding so a stale corpus reports NOT_TESTABLE instead of an accuracy figure.,historical_reconstructed,repository evidence; approval metadata not present
WB-037,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-12,,"Restructure the Evidence workspace around the starting choice, with the three steps always visible and retrieval tuning moved out of the primary path.",historical_reconstructed,repository evidence; approval metadata not present
WB-038,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-12,,"Add in-app folder browsing, a native OS folder dialog where the runtime is local, and a recent-folders list for the evidence path.",historical_reconstructed,repository evidence; approval metadata not present
